id,current_living,current_ideal,experience_rent,rent_month,rent_if_lottery,rent_MRT,rent_bus,rent_car,rent_motorpri,rent_motorsha,rent_bikepri,rent_bikesha,rent_walk,rent_1280,rent_consider_time,rent_consider_cost,rent_consider_rely,rent_consider_flex,rent_consider_conv,rent_consider_safe,rent_consider_cozy,rent_consider_envi,rent_consider_heal,rent_own_car,rent_own_motor,rent_own_bike,rent_veh_license,dorm_type,dorm_if_out,dorm_MRT,dorm_bus,dorm_car,dorm_motorpri,dorm_motorsha,dorm_bikepri,dorm_bikesha,dorm_walk,dorm_shuttle,dorm_rent_consider_time,dorm_rent_consider_cost,dorm_rent_consider_rely,dorm_rent_consider_flex,dorm_rent_consider_conv,dorm_rent_consider_safe,dorm_rent_consider_cozy,dorm_rent_consider_envi,dorm_rent_consider_heal,dorm_own_car,dorm_own_motor,dorm_own_bike,dorm_veh_license,home_if_lottery,home_if_rent,home_MRT,home_bus,home_car,home_motorpri,home_motorsha,home_bikepri,home_bikesha,home_walk,home_1280,home_rent_consider_time,home_rent_consider_cost,home_rent_consider_rely,home_rent_consider_flex,home_rent_consider_conv,home_rent_consider_safe,home_rent_consider_cozy,home_rent_consider_envi,home_rent_consider_heal,home_own_car,home_own_motor,home_own_bike,home_veh_license,prefer_rent_price,prefer_time,prefer_dist,prefer_cost,prefer_roomtype,prefer_together,prefer_food,prefer_mall,prefer_shop,prefer_agency,prefer_finance,prefer_hospital,prefer_metro,prefer_bus,prefer_motorshare,prefer_youbike,prefer_youbikeE,prefer_bikefac,prefer_pedfac,prefer_accident,prefer_route,prefer_nightride,prefer_clean,prefer_quiet,prefer_park,prefer_safe,prefer_balcony,prefer_legalhouse,prefer_elevator,prefer_gender,prefer_emergency,prefer_post,prefer_pets,prefer_cook,prefer_counting,prefer_garbage,prefer_appli,motor_status,motor_enjoy,motor_need,motor_everyone,motor_further,motor_flex,motor_conv,motor_no_danger,motor_rely,motor_no_alter,share_envi,share_cool,share_cheap,share_cozy,share_altermotor,share_no_empty,share_no_full,own_motor,own_plan_motor,bike_enjoy,bike_heal,bike_envi,bike_no_leisure,bike_need,bike_everyone,bike_time,bike_flex,bike_conv,bike_no_danger,bike_rely,youbike_station,youbike_envi,youbike_no_empty,youbike_no_full,youbike_alterbike,youbike_easy,own_bike,own_plan_bike,gender,university,grade,income,familyeco,job,single,pets
322,rent,1,0,10,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,2,2,1,-2,1,-1,2,1,-2,-2,-2,-2,1,1,-2,-2,2,1,0,1,2,2,0,1,1,0,-1,1,1,2,1,-2,-2,-1,-2,1,1,1,2,2,2,2,1,2,1,1,1,1,0,-2,-2,0,1,-1,-2,-2,1,1,1,1,1,1,1,1,1,0,1,0,-2,1,1,6,11.25,3,0,1,0
323,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,1,2,2,2,2,-2,2,0,2,2,2,0,0,2,2,2,2,2,2,-2,-2,2,-2,-2,-2,2,0,1,-2,-1,0,-2,2,0,0,2,0,2,0,-2,-2,0,-2,2,2,1,0,-2,1,1,-2,1,-2,-2,0,0,1,-2,1,0,1,1,-2,0,1,1,1,1,5,3.75,3,0,1,0
324,bot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,1,0,-1,-1,1,2,2,-2,-1,0,0,2,2,0,0,2,2,-1,-1,-1,2,2,-1,2,0,0,0,2,2,0,-1,-2,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,11.25,4,0,1,1
325,home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,-1,0,0,1,0,1,2,0,0,0,0,-1,1,1,1,2,0,2,2,0,2,2,2,-1,2,-2,0,0,-2,-2,-2,1,1,1,2,0,0,-1,0,0,1,0,0,0,0,0,0,-1,2,2,-2,0,1,2,1,1,2,6.25,3,1,0,0
326,rent,0,1,8,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,-1,-1,-2,-2,-2,1,0,-2,0,-2,-1,-1,0,1,0,2,-1,-2,0,-1,1,0,-2,1,0,-2,1,1,1,2,0,0,2,-1,2,2,2,-1,2,2,0,-1,0,-1,-1,1,1,0,2,1,1,1,-1,2,0,1,1,1,-1,1,0,0,1,2,-2,0,0,2,1,1,4,13.75,4,1,0,0
327,dormitory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,-1,0,1,2,1,0,0,0,1,0,0,1,-1,1,1,1,0,1,1,0,0,1,-1,-1,-1,0,1,-1,1,0,1,1,0,0,-1,0,-2,0,1,0,1,0,2,1,1,1,0,0,1,1,0,0,1,1,1,-1,0,1,1,1,1,-1,0,1,1,0,0,-1,1,1,1,1,1,1,8.75,3,0,0,0
328,home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,2,1,2,1,1,0,0,1,-1,1,-2,1,2,0,2,-1,2,1,1,2,1,1,1,0,1,-1,1,0,0,1,-1,-1,0,2,1,0,-1,-1,-2,-2,1,1,0,1,0,2,1,1,1,0,1,0,1,0,-1,1,1,1,-2,0,-2,1,2,1,-1,2,2,1,-1,0,2,1,1,1,1,1,3,3.75,4,0,1,0
329,dormitory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,-1,0,1,1,-1,0,-1,1,0,1,2,-1,1,2,0,1,1,1,1,0,1,0,0,-1,-1,2,1,-2,0,2,2,1,-2,-2,-2,-2,1,0,0,-1,-1,2,2,1,2,-1,0,-1,1,0,-1,1,0,1,-1,2,-1,0,0,1,-1,0,1,1,1,2,1,1,1,2,1,1,5,31.25,4,1,1,0
330,bot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,-1,0,0,1,-1,0,1,2,0,1,2,-2,0,1,0,2,2,1,0,0,2,0,0,2,-1,0,2,-2,2,2,0,2,2,0,2,-1,2,1,2,-1,2,1,1,1,2,-1,-2,1,1,0,2,0,0,0,-1,2,-1,1,1,1,-1,0,-1,1,1,1,-2,-2,1,2,1,1,5,13.75,4,1,1,0
331,rent,1,0,12,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,1,0,-1,-1,0,1,0,-2,0,-1,0,1,0,0,1,1,1,-1,1,0,1,-1,-1,1,-1,-2,-1,1,-1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,1,1,0,0,-1,1,0,1,0,0,0,0,1,2,-2,1,1,1,0,1,1,13.75,4,0,0,0
332,home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,0,1,0,1,2,1,1,2,1,1,1,1,1,2,1,0,2,1,0,1,1,1,0,0,-1,-1,-1,1,1,0,2,0,1,1,1,1,0,-1,1,1,0,0,1,1,0,-1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,7,8.75,3,0,0,0
333,rent,0,1,8,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,2,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,2,1,-1,0,0,-1,-1,1,1,1,2,1,-1,-1,2,1,2,-1,1,2,0,0,1,-1,-1,1,2,0,1,1,0,1,-1,2,1,1,2,2,-2,2,1,0,2,2,-1,2,1,2,1,1,5,11.25,3,0,0,0
334,dormitory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,-1,0,2,0,-2,-2,0,-1,-1,-2,-2,-2,2,-1,-2,-2,2,2,1,-2,-2,-2,2,1,-2,1,-2,-2,2,2,2,1,-1,-2,-2,-2,1,0,1,-1,0,2,0,2,-1,-2,-2,1,-2,0,-2,2,0,0,-2,2,-2,2,2,2,-2,0,-2,-2,2,0,-2,2,1,2,1,1,1,6.25,4,0,1,0
335,rent,0,1,8,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,0,1,1,-1,1,0,2,1,0,0,0,0,1,1,1,1,2,2,0,1,0,2,0,0,1,0,1,1,2,1,2,-1,0,0,-1,1,0,0,1,0,2,1,0,0,0,-1,1,1,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,0,0,1,1,5,11.25,3,1,1,1
336,rent,1,1,12,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,-1,-1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,-1,0,0,1,1,1,1,1,-1,-1,0,-1,1,1,0,0,1,1,0,0,1,1,1,-1,1,1,5,13.75,4,1,1,0
337,dormitory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,2,1,0,0,-1,0,1,2,2,0,0,-1,2,2,2,1,2,2,0,2,-1,2,-1,-2,2,-1,-2,-2,2,1,0,-2,1,-2,-2,2,1,2,-2,1,2,2,0,2,0,2,1,2,0,0,0,1,2,-1,-1,-1,-2,-2,0,-2,-2,2,1,2,1,0,2,1,0,1,1,4,13.75,4,0,0,0
338,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,-1,1,1,1,1,1,-2,1,1,2,0,2,2,0,-2,0,1,0,1,1,1,-1,-2,-1,1,1,0,-1,1,2,0,-1,0,-2,-1,-1,1,1,2,0,2,-2,2,1,2,2,2,-2,2,-2,-2,1,1,-2,2,1,2,1,1,3,16.25,4,1,0,0
339,home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,-1,0,0,0,1,0,0,-1,-1,0,2,0,-1,0,-2,0,1,-1,-1,1,1,1,0,-1,-1,1,-2,-1,2,-2,-2,0,1,1,1,0,-1,-2,-2,1,1,-1,0,1,2,2,0,1,-1,2,-1,-1,0,-1,0,1,2,-1,2,1,0,1,1,-1,1,1,2,1,0,-1,2,1,2,1,1,3,8.75,4,0,0,0
340,dormitory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,1,1,1,0,1,2,2,2,-1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,2,-1,2,2,2,2,0,-1,1,0,1,0,1,1,0,1,1,0,1,1,-1,0,1,0,1,2,1,1,1,1,1,0,1,2,1,1,1,1,2,2,-1,1,1,2,0,1,3,11.25,3,0,0,0
341,bot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,-2,0,-1,1,0,-1,1,0,0,-1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,13.75,3,1,0,0
342,dormitory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,-1,1,0,-1,-1,0,1,2,-2,0,-2,1,1,2,2,2,2,1,0,2,0,1,0,-1,1,1,2,-1,2,1,1,-2,-2,-1,-2,1,-1,-1,0,-1,1,-2,-2,-2,-2,-2,1,1,0,-2,2,0,0,-2,2,-2,2,2,2,-1,2,-2,-1,2,2,-2,1,1,2,0,1,4,8.75,3,0,1,0
343,rent,0,1,12,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,2,2,2,0,0,0,2,2,0,1,0,-1,1,1,0,1,2,2,0,2,1,2,0,-1,1,-1,-2,-1,1,1,2,-2,1,-1,-2,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,-1,1,1,-1,-1,-1,1,1,1,-1,1,2,1,2,2,1,1,1,0,0,1,9,16.25,4,1,1,0
344,dormitory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-1,-2,0,1,1,-1,-2,-1,-1,2,1,-1,-1,-2,-1,-2,-2,-1,0,1,1,1,1,-2,-1,1,-2,0,1,1,1,0,0,0,-1,-1,-2,-2,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,0,0,1,1,-2,1,1,1,-1,0,0,1,1,0,0,1,6,18.75,3,1,0,1
345,home,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,-1,0,0,1,1,-1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,-2,0,1,1,1,0,-1,1,-1,-1,0,1,-1,1,1,1,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,1,-1,1,1,1,0,1,6,6.25,4,0,0,0
346,bot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,2,2,1,2,1,1,2,0,1,1,1,1,2,2,2,2,2,0,2,1,1,1,0,2,0,0,0,2,2,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,-1,0,0,0,2,1,0,0,-1,0,0,0,0,1,-1,0,0,-1,0,0,-1,0,1,1,0,1,1,8.75,4,0,0,0
347,dormitory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,2,0,2,0,1,0,0,1,1,-1,0,1,1,0,0,0,0,-1,-1,1,1,1,1,1,1,0,1,2,1,0,0,0,-1,1,1,1,-1,1,0,0,1,1,-1,1,1,1,0,1,-1,2,1,2,0,1,4,11.25,3,1,0,0
348,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,2,2,2,-1,-1,1,2,1,0,1,1,1,0,-2,2,0,2,2,1,1,1,1,1,1,1,-1,1,0,2,2,0,-1,1,2,1,1,-1,-1,-1,-1,0,0,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,1,1,1,1,1,-1,1,-1,0,0,0,-1,1,1,2,0,1,1,8.75,3,1,1,0
349,home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,1,1,1,0,0,2,2,-1,1,1,0,0,-1,0,0,0,1,0,2,0,0,-1,-2,0,0,0,1,1,1,1,-2,-1,0,-1,0,0,0,2,0,0,-1,-1,1,1,1,2,2,0,1,0,0,2,-2,0,1,-1,0,0,-1,0,0,1,2,2,0,0,1,0,0,1,3,8.75,3,1,1,1
350,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,2,1,2,1,0,2,1,0,-2,-1,-1,2,0,-2,1,-2,2,2,2,2,1,2,1,-1,2,1,1,2,-2,2,0,-2,-1,1,2,0,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,0,-2,1,1,2,-2,1,2,2,2,1,0,1,2,2,1,1,-1,1,0,2,0,1,1,8.75,4,0,1,0
351,rent,0,1,8,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,2,2,2,1,2,2,2,-2,1,2,2,2,0,2,2,0,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,1,1,1,2,0,0,0,1,-1,-1,1,1,1,-2,1,1,-1,1,1,1,1,0,0,1,1,9,8.75,3,1,0,0
352,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,1,1,0,-1,1,-1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,2,0,-1,-1,0,0,1,0,0,1,3,6.25,3,1,0,0
353,dormitory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,-1,0,0,1,0,0,1,-1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,-2,0,1,1,1,-1,0,0,-1,1,1,1,-1,1,1,0,0,1,0,-1,1,1,0,1,1,1,1,-1,1,0,0,1,1,-1,1,-1,0,1,1,-1,0,1,1,0,1,1,16.25,3,1,0,1
354,rent,0,1,8,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,1,0,0,-1,-1,0,1,1,-2,-2,-2,0,0,0,1,1,1,1,-1,1,1,2,0,1,2,0,-2,0,2,2,0,-2,-1,1,-1,1,1,0,1,0,2,-1,-2,0,-1,0,0,1,1,1,0,-1,-1,-1,2,-2,1,2,2,-1,2,1,0,1,1,-1,1,1,2,0,1,5,8.75,3,0,1,0
355,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,-2,1,2,1,0,1,-1,-1,-1,0,2,1,0,1,0,0,1,1,2,2,2,2,-1,2,-1,2,1,1,2,2,-2,1,1,2,1,-1,0,1,-2,2,0,1,-1,0,1,0,-1,-1,-2,0,2,2,1,1,-1,-2,-1,-1,-2,-2,0,-1,0,1,-1,-1,1,0,0,1,1,1,0,0,1,3,6.25,3,0,1,0
356,dormitory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,1,0,-1,2,0,1,1,-1,2,0,2,1,2,2,2,1,2,0,2,1,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,2,2,0,0,2,0,1,0,1,1,1,2,1,0,0,2,2,2,1,0,2,1,1,1,1,1,8.75,3,0,1,0
357,together,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,-1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,3,8.75,3,0,1,0
358,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,1,1,1,0,0,-1,1,0,2,2,-1,1,1,2,1,1,1,1,2,0,1,2,1,1,0,1,1,0,0,1,1,1,1,-1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,2,1,-1,-1,0,-1,1,1,-1,-1,2,2,-1,-1,1,2,1,1,0,1,2,8.75,3,1,0,0
359,together,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,2,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,-1,1,1,0,1,-1,-1,-1,0,1,1,1,1,1,1,0,-1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,0,1,1,5,8.75,3,0,1,0
